"";"ChampionID";"Role";"games_played";"kills";"deaths";"assists";"cs_at_15_min";"cs_at_end";"gold_at_15_min";"gold_at_end"
"271";"Kindred";"jungle";36;3,11111111111111;2,47222222222222;4,83333333333333;92,25;212,277777777778;4425,19444444444;10838,6944444444
"272";"Kled";"top";3;1;2,33333333333333;2;68,3333333333333;151,333333333333;3541,33333333333;7110
"273";"KogMaw";"bottom";11;3,90909090909091;3,09090909090909;3,18181818181818;115,818181818182;255,909090909091;4985,18181818182;12112,4545454545
"274";"KogMaw";"mid";2;1,5;1;1;136;298;4655;12709,5
"275";"Leblanc";"mid";35;3,71428571428571;2,14285714285714;3,54285714285714;109,685714285714;234,514285714286;4758,2;11435,6857142857
"276";"Leblanc";"support";2;3;4;7;18;26,5;3674;7170,5
"277";"Leblanc";"top";1;3;4;3;107;318;4091;14234
"278";"LeeSin";"bottom";1;0;3;1;87;152;3647;6538
"279";"LeeSin";"jungle";88;3,09090909090909;2,63636363636364;4,97727272727273;92,6136363636364;189,829545454545;4689,25;10318,6590909091
"280";"LeeSin";"mid";6;3;3,5;6,16666666666667;117,5;197;5241;10013,3333333333
"281";"LeeSin";"support";1;1;6;5;24;49;3726;6075
"282";"LeeSin";"top";1;8;8;6;107;435;4967;22959
"283";"Leona";"support";618;0,681229773462783;3,61003236245955;7,30258899676375;19,6731391585761;32,8834951456311;3088,87216828479;6936,66181229773
"284";"Lillia";"jungle";194;3,14432989690722;2,08762886597938;5,32474226804124;101,613402061856;220,458762886598;4795,01546391753;11143,4432989691
"285";"Lissandra";"mid";12;1,83333333333333;2,83333333333333;4,08333333333333;108,333333333333;225,416666666667;4473,08333333333;9938,75
"286";"Lucian";"bottom";29;3,72413793103448;2,06896551724138;4,55172413793103;122,172413793103;267,724137931034;5062,03448275862;12379,4827586207
"287";"Lucian";"mid";5;3,2;2,8;5,2;111,8;232,4;4496,2;11181,2
"288";"Lulu";"support";108;0,759259259259259;1,91666666666667;8,28703703703704;18,2777777777778;28,1388888888889;3329,33333333333;7006,46296296296
"289";"Lux";"bottom";1;2;2;6;125;220;5391;9937
"290";"Lux";"mid";8;2,625;1,75;4,625;122,25;276,125;4869,75;12781,625
"291";"Lux";"support";2;0;0,5;3;23;39;3401,5;7360,5
"292";"Malphite";"top";23;1,52173913043478;1,8695652173913;3,82608695652174;90,695652173913;207,434782608696;3927,73913043478;9719,86956521739
"293";"Maokai";"jungle";335;1,54328358208955;2,50149253731343;7,0865671641791;83,7910447761194;165,498507462687;4162,13134328358;9288,18507462687
"294";"Maokai";"support";47;0,872340425531915;3,42553191489362;6,8936170212766;17,2978723404255;28,936170212766;3125;6826,34042553191
"295";"Maokai";"top";46;0,891304347826087;2,19565217391304;4,6304347826087;95,8695652173913;184,152173913043;4195,63043478261;8838,45652173913
"296";"MasterYi";"jungle";1;9;4;3;106;223;5297;14415
"297";"Mel";"bottom";14;3,57142857142857;2,35714285714286;2,5;110,642857142857;264,071428571429;4463,71428571429;11957,3571428571
"298";"Mel";"mid";55;4,47272727272727;2;3,8;120,290909090909;254,309090909091;4809,74545454545;11982,0727272727
"299";"Mel";"support";1;2;4;7;19;31;3290;7147
"300";"Mel";"top";1;2;0;3;72;174;3871;7501
"301";"Milio";"support";18;0,111111111111111;1,66666666666667;7;21,0555555555556;31,2222222222222;3110,55555555556;6696,11111111111
"302";"MissFortune";"bottom";481;3,27858627858628;1,93347193347193;4,49480249480249;118,827442827443;277,723492723493;4901,02494802495;12338,8482328482
"303";"MissFortune";"mid";1;1;0;4;142;354;5333;14285
"304";"MissFortune";"top";1;1;1;2;134;247;4905;9284
"305";"MonkeyKing";"jungle";320;2,771875;2,515625;5,278125;89,66875;188,384375;4455,971875;10320,140625
"306";"MonkeyKing";"support";1;3;4;7;21;40;3641;7769
