"";"Role";"BlueTeamChampion";"RedTeamChampion";"PatchVersion";"games_played";"blue_side_kills";"blue_side_deaths";"blue_side_assists";"blue_side_cs_at_15_min";"blue_side_cs_at_end";"blue_side_gold_at_15_min";"blue_side_gold_at_end";"red_side_kills";"red_side_deaths";"red_side_assists";"red_side_cs_at_15_min";"red_side_cs_at_end";"red_side_gold_at_15_min";"red_side_gold_at_end";"blue_side_kills_advantage";"blue_side_deaths_advantage";"blue_side_assists_advantage";"blue_side_cs_at_15_min_advantage";"blue_side_cs_at_end_advantage";"blue_side_gold_at_15_min_advantage";"blue_side_gold_at_end_advantage";"blue_side_kills_advantage_advantage";"blue_side_deaths_advantage_advantage";"blue_side_assists_advantage_advantage";"blue_side_cs_at_15_min_advantage_advantage";"blue_side_cs_at_end_advantage_advantage";"blue_side_gold_at_15_min_advantage_advantage";"blue_side_gold_at_end_advantage_advantage"
"2756";"mid";"Akali";"Hwei";"15.2.650.9216";1;8;3;5;125;307;4947;15702;3;4;6;135;335;4676;15195;5;-1;-1;-10;-28;271;507;5;-1;-1;-10;-28;271;507
"2757";"mid";"Akali";"Hwei";"15.3.655.330";1;0;4;1;116;180;4497;7280;4;0;7;148;234;5499;10416;-4;4;-6;-32;-54;-1002;-3136;-4;4;-6;-32;-54;-1002;-3136
"2758";"mid";"Akali";"Jayce";"15.2.650.9216";1;5;4;3;128;224;5800;11791;10;4;7;142;233;6041;14203;-5;0;-4;-14;-9;-241;-2412;-5;0;-4;-14;-9;-241;-2412
"2759";"mid";"Akali";"Jayce";"15.7.670.1561";1;5;5;6;85;143;4309;8909;6;2;14;108;188;6511;11668;-1;3;-8;-23;-45;-2202;-2759;-1;3;-8;-23;-45;-2202;-2759
"2760";"mid";"Akali";"Jayce";"15.7.671.9073";1;5;7;2;120;285;4780;16114;3;3;6;140;336;5229;16142;2;4;-4;-20;-51;-449;-28;2;4;-4;-20;-51;-449;-28
"2761";"mid";"Akali";"Leblanc";"15.4.658.6996";1;9;5;1;112;185;6036;11259;1;3;3;96;136;3852;6438;8;2;-2;16;49;2184;4821;8;2;-2;16;49;2184;4821
"2762";"mid";"Akali";"Mel";"15.3.655.330";1;1;0;1;125;182;4837;6981;0;0;0;120;179;4249;6157;1;0;1;5;3;588;824;1;0;1;5;3;588;824
"2763";"mid";"Akali";"Orianna";"15.2.653.8382";1;1;0;7;92;181;4176;7817;1;3;0;102;204;3832;7857;0;-3;7;-10;-23;344;-40;0;-3;7;-10;-23;344;-40
"2764";"mid";"Akali";"Orianna";"15.3.655.330";1;5;1;1;119;304;4213;14556;0;2;5;128;279;4502;12372;5;-1;-4;-9;25;-289;2184;5;-1;-4;-9;25;-289;2184
"2765";"mid";"Akali";"Orianna";"15.5.662.5311";2;4,5;1,5;5,5;109,5;242,5;4516,5;11941;2;4;5;109;213,5;4354;10196;2,5;-2,5;0,5;0,5;29;162,5;1745;2,5;-2,5;0,5;0,5;29;162,5;1745
