"";"Abbr_1";"most_common_name_number_of_occurences";"RedTeamName"
"209";"LGDclimber";6;"Hangzhou LGD Gaming"
"210";"LGDnaiyou";5;"Hangzhou LGD Gaming"
"211";"LGDsasi";11;"Hangzhou LGD Gaming"
"212";"LGDShaoye";11;"Hangzhou LGD Gaming"
"213";"LGDxqw";11;"Hangzhou LGD Gaming"
"214";"LGDYcx";11;"Hangzhou LGD Gaming"
"215";"LLS";10;"Lundqvist Lightside"
"216";"LLS";10;"Bulldog Esports"
"217";"LNG5t5";2;"SHANGHAI EDWARD GAMING HYCAN"
"218";"LNG5t5";2;"Suzhou LNG Ninebot Esports"
"219";"LNGhaichao";11;"Suzhou LNG Ninebot Esports"
"220";"LNGLP";4;"Suzhou LNG Ninebot Esports"
"221";"LNGPhotic";7;"Suzhou LNG Ninebot Esports"
"222";"LNGWeiwei";7;"Suzhou LNG Ninebot Esports"
"223";"LNGxiaofang";2;"Suzhou LNG Ninebot Esports"
"224";"LNGZhuo";11;"Suzhou LNG Ninebot Esports"
"225";"LNGZika";11;"Suzhou LNG Ninebot Esports"
"226";"LOS";40;"LOS"
"227";"LOUD";45;"LOUD"
"228";"LPS";10;"Leões de Porto Salvo Esports"
"229";"LR";100;"Los Ratones"
"230";"LUA";30;"LUA Gaming"
"231";"LUP";30;"Lupus Esports"
"232";"LYON";30;"LYON"
"233";"M8";65;"Gentle Mates"
"234";"Mahonix";1;"GMBLERS Esports"
"235";"Mahonix";1;"EKO Esports"
"236";"MAZ";5;"Wap Esports"
"237";"MAZ";5;"Evermeet"
"238";"MAZ";5;"Maze Gaming Esports"
"239";"MAZ";5;"Seven Dark"
"240";"MCK";35;"Macko Esports"
"241";"MCON";60;"mCon Esports"
"242";"MGZ";5;"BeFive"
"243";"MIE";10;"Mighty Eagles"
"244";"MISA";105;"Misa Esports"
"245";"MKF";45;"Movistar KOI Fénix"
"246";"MKOI";75;"Movistar KOI"
"247";"MVE";40;"Meavedron"
"248";"MVG";28;"Malvinas Gaming"
"249";"MVKE";40;"MGN Vikings Esports"
"250";"MYTH";50;"Myth Esports"
"251";"NA";50;"Near Airport"
"252";"NBS";70;"NightBirds"
"253";"NCP";5;"BraVeLY"
"254";"NCP";5;"Burning Core Toyama"
"255";"NCP";5;"Night Cap"
"256";"NF";5;"HOF Esports"
"257";"NF";5;"Crusaders"
"258";"NGU";10;"Vungtau Never Give Up"
"259";"NGX";65;"Nigma Galaxy"
"260";"NIPAki";14;"SHENZHEN NINJAS IN PYJAMAS"
"261";"NIPDoinb";14;"SHENZHEN NINJAS IN PYJAMAS"
"262";"NIPLeave";14;"SHENZHEN NINJAS IN PYJAMAS"
"263";"NIPppgod";14;"SHENZHEN NINJAS IN PYJAMAS"
"264";"NIPshanji";14;"SHENZHEN NINJAS IN PYJAMAS"
"265";"NORD";55;"NORD Esports"
"266";"NS";95;"NS Challengers"
"267";"NT";25;"Nice Try"
"268";"OAE";65;"Orbit Anonymo"
"269";"ODD";30;"ODD Esports"
"270";"OMGbeishang";2;"Royal Never Give Up"
"271";"OMGcharlotte";3;"Oh My God"
"272";"OMGHeng";9;"Oh My God"
"273";"OMGHery";10;"Oh My God"
"274";"OMGLinfeng";7;"Oh My God"
"275";"OMGMoham";10;"Oh My God"
"276";"OMGStarry";10;"Oh My God"
"277";"OSC";20;"Odivelas Sports Club"
"278";"OUAT";20;"Once Upon a Team"
"279";"PAIN";35;"paiN Gaming"
"280";"PK";35;"Peek Gaming"
"281";"PLS";20;"Pulse Star"
"282";"PXS";10;"Crvena zvezda Esports"
"283";"PXS";10;"Lupus Esports"
"284";"QTD";25;"QT DIG"
"285";"RATZ";35;"RATZ"
"286";"RBT";50;"Ramboot Club"
"287";"RC";55;"REJECT"
"288";"RED";30;"RED Kalunga Academy"
"289";"RFS";15;"Team Refuse"
"290";"RG";25;"Rich Gang"
"291";"RGE";60;"Rogue"
"292";"RISE";30;"RISE Gaming"
"293";"RNGJiaQi";12;"Royal Never Give Up"
"294";"RNGLele";2;"Royal Never Give Up"
"295";"RNGLele";2;"Invictus Gaming"
"296";"RNGmilkyway";12;"Royal Never Give Up"
"297";"RNGNiket";10;"Royal Never Give Up"
"298";"RNGTangyuan";12;"Royal Never Give Up"
"299";"RNGXiaoxu";12;"Royal Never Give Up"
"300";"ROSS";50;"Rossmann Centaurs"
"301";"RS";30;"The Ruddy Sack"
"302";"S7N";1;"Hell ZeroLag"
"303";"S7N";1;"Team Phantasma"
"304";"SCCP";30;"Corinthians E-Sports"
"305";"SDM";25;"SDM Tigres"
"306";"SG";15;"QT DIG"
"307";"SGE";40;"Eintracht Frankfurt"
