"";"Role";"BlueTeamChampion";"RedTeamChampion";"games_played";"blue_side_kills";"blue_side_deaths";"blue_side_assists";"blue_side_cs_at_15_min";"blue_side_cs_at_end";"blue_side_gold_at_15_min";"blue_side_gold_at_end";"red_side_kills";"red_side_deaths";"red_side_assists";"red_side_cs_at_15_min";"red_side_cs_at_end";"red_side_gold_at_15_min";"red_side_gold_at_end";"blue_side_kills_advantage";"blue_side_deaths_advantage";"blue_side_assists_advantage";"blue_side_cs_at_15_min_advantage";"blue_side_cs_at_end_advantage";"blue_side_gold_at_15_min_advantage";"blue_side_gold_at_end_advantage"
"1335";"mid";"Yone";"Tristana";12;3;2,16666666666667;4,66666666666667;113,666666666667;263,083333333333;4725;11960,9166666667;4,08333333333333;2,66666666666667;3,5;118,583333333333;268,583333333333;5165,75;13030,75;-1,08333333333333;-0,5;1,16666666666667;-4,91666666666666;-5,5;-440,75;-1069,83333333333
"1336";"mid";"Yone";"Tryndamere";1;4;2;3;109;198;5211;9052;5;1;5;129;211;6277;10669;-1;1;-2;-20;-13;-1066;-1617
"1337";"mid";"Yone";"Viktor";11;2,18181818181818;2,90909090909091;3,36363636363636;122,181818181818;265,272727272727;4795,18181818182;11815;3,45454545454545;1,90909090909091;5,63636363636364;127,363636363636;250,909090909091;4970,18181818182;11994,7272727273;-1,27272727272727;1;-2,27272727272727;-5,18181818181817;14,3636363636363;-175;-179,727272727272
"1338";"mid";"Yone";"Ziggs";1;0;4;5;82;314;3037;13770;1;0;8;84;315;3098;13553;-1;4;-3;-2;-1;-61;217
"1339";"mid";"Zed";"Azir";2;6;2;4,5;51;219;2858,5;11742;1,5;4;3;52,5;254,5;2473,5;10765,5;4,5;-2;1,5;-1,5;-35,5;385;976,5
"1340";"mid";"Zed";"Hwei";1;6;2;3;94;262;4068;12783;1;5;5;109;248;3973;10748;5;-3;-2;-15;14;95;2035
"1341";"mid";"Zed";"Taliyah";1;4;4;8;116;267;5325;14591;4;5;9;109;285;5154;13805;0;-1;-1;7;-18;171;786
"1342";"mid";"Zed";"Yone";1;4;6;1;107;211;4491;10586;6;2;12;127;255;5593;13724;-2;4;-11;-20;-44;-1102;-3138
"1343";"mid";"Ziggs";"Azir";1;5;1;8;70;251;2692;12719;1;3;2;74;259;2757;11533;4;-2;6;-4;-8;-65;1186
"1344";"mid";"Ziggs";"Orianna";1;4;2;9;141;367;5073;17022;4;1;19;147;382;5164;17793;0;1;-10;-6;-15;-91;-771
"1345";"mid";"Ziggs";"Syndra";2;1,5;1;8,5;129,5;227,5;5166,5;10873,5;3,5;2;2;132;243;5013;11267,5;-2;-1;6,5;-2,5;-15,5;153,5;-394
"1346";"mid";"Ziggs";"Taliyah";1;1;1;4;128;261;4851;10615;0;1;1;119;247;4323;9382;1;0;3;9;14;528;1233
"1347";"mid";"Ziggs";"Viktor";1;0;5;0;98;225;3510;9215;5;0;5;98;247;3769;11893;-5;5;-5;0;-22;-259;-2678
"1348";"mid";"Zilean";"Galio";1;0;1;2;132;195;4834;7664;7;1;9;137;200;6470;10716;-7;0;-7;-5;-5;-1636;-3052
"1349";"mid";"Zilean";"Taliyah";1;1;1;10;135;207;4963;10443;3;3;4;127;209;4849;9677;-2;-2;6;8;-2;114;766
"1350";"mid";"Zilean";"Xerath";1;1;4;0;121;173;4268;7370;2;0;4;132;231;5417;9984;-1;4;-4;-11;-58;-1149;-2614
"1351";"mid";"Zoe";"Ambessa";1;4;2;1;0;241;505;11532;5;4;2;0;253;500;13409;-1;-2;-1;0;-12;5;-1877
"1352";"mid";"Zoe";"Aurora";1;9;2;11;113;173;6712;12052;4;7;6;116;153;5505;8500;5;-5;5;-3;20;1207;3552
"1353";"mid";"Zoe";"Azir";1;3;3;1;97;171;3722;8472;1;2;4;110;182;4386;7650;2;1;-3;-13;-11;-664;822
"1354";"mid";"Zoe";"Taliyah";2;4,5;2,5;7,5;101;210,5;4916;11057,5;3;3;3,5;106,5;216;4756;10546,5;1,5;-0,5;4;-5,5;-5,5;160;511
"1355";"support";"Alistar";"Bard";1;0;5;9;13;26;2988;7238;2;9;12;16;29;3389;7911;-2;-4;-3;-3;-3;-401;-673
"1356";"support";"Alistar";"Blitzcrank";3;0;2;7;19,6666666666667;28;3124,66666666667;6467;0,333333333333333;5;5;16,3333333333333;24,6666666666667;3416,66666666667;6147;-0,333333333333333;-3;2;3,33333333333334;3,33333333333333;-292;320
