"";"Champion";"Side";"Role";"Kills";"Deaths";"Assists";"CSAt15Min";"CSAtEnd";"GoldAt15Min";"GoldAtEnd";"Games_played"
"61";"Braum";"Blue";"support";-0,243546998173386;-0,76148698284111;0,758950333774615;-0,358651329448113;0,435684661725527;94,7649255675723;113,078519935227;202
"62";"Braum";"Red";"support";-0,209051562520282;-0,466650796195133;0,574156080685003;-0,705118559754517;-1,00591034754816;34,0764878808241;99,8882823583981;163
"63";"Caitlyn";"Blue";"bottom";0,52203710443591;-0,788207555166246;0,903600617661503;17,9460291420748;9,43745737270896;481,042352511004;1141,64206375853;49
"64";"Caitlyn";"Blue";"mid";3,54161491083319;2,14935819873107;-7,78714725463355;8,3676188610209;18,655603124513;-48,564426520559;1945,17983539199;1
"65";"Caitlyn";"Red";"bottom";-0,57749624379464;0,340052994124263;-0,911446023157783;2,33263683143637;-7,97153351585018;-64,9416827233103;-837,11493090569;47
"66";"Camille";"Blue";"support";-1,95273705285788;6,66790991930214;-13,4341963602069;3,03833292082024;31,5059288180393;-674,872835974851;-1303,18155629487;1
"67";"Camille";"Blue";"top";0,49866161048138;-0,0153374083161816;-0,592271329852598;-5,74130147830195;4,01882418243057;-80,9035526576798;813,352076854616;78
"68";"Camille";"Red";"support";1,08078888259587;0,724135035134877;1,88787721093558;-5,81702541583123;7,71683077948338;312,885575525127;1416,60587260437;2
"69";"Camille";"Red";"top";1,40957331026484;-1,10841036783067;0,977670517747246;-8,93394102817991;-1,00761002739174;-16,7560189986145;820,053934629382;41
"70";"Cassiopeia";"Blue";"mid";-0,626916908341931;0,546115564467568;-0,268082821849228;-2,50312971859661;8,9353298628277;-121,655851687942;118,796019516917;17
"71";"Cassiopeia";"Blue";"top";0,595602090490994;-1,44097457211957;4,00204223778117;13,2034198758578;7,14237727119019;363,264726435799;319,078699965406;4
"72";"Cassiopeia";"Red";"bottom";-0,122293772743323;2,11571771907794;-1,70625661134866;2,96222999908863;-38,3146199103112;680,943753242194;-1278,07474999004;1
"73";"Cassiopeia";"Red";"mid";3,88088491314419;-4,26260506722234;0,404284451326931;32,4877059760564;69,7181833788779;1048,33388990052;3116,19420526219;9
"74";"Cassiopeia";"Red";"top";0,543507692715846;-0,802776890352868;6,02434227289906;11,1265398933395;22,1986741967914;434,296304936867;1019,90908088365;2
"75";"Chogath";"Blue";"mid";-1,47676660764371;1,92728911188012;-2,40895762886469;-5,5228473895796;-11,878985827921;-230,868088625632;-1150,63591000888;6
"76";"Chogath";"Blue";"support";2,11545840967154;2,52724427109212;-10,6743059236716;84,6345913778255;149,238055953093;807,695003996217;1321,12731062268;1
"77";"Chogath";"Blue";"top";-0,224966136924064;0,148937186332159;0,0714481488200589;-1,07974645766544;-13,0589444255316;-27,2016335176787;-291,267951236747;19
"78";"Chogath";"Red";"mid";4,20637106812694;-3,81072074331029;0,346228837378326;20,8529874501939;43,1628512495553;482,980822568699;2699,91622428331;6
"79";"Chogath";"Red";"top";0,346492201600713;0,271807063149245;0,0482243564817543;-4,50142219140127;-11,89010780867;-141,320682599508;-431,016078428498;26
"80";"Corki";"Blue";"bottom";1,23351324385251;-1,03799458428453;1,3176235516594;11,5205752192779;7,38916139642665;310,741381884712;1075,77909837903;210
"81";"Corki";"Blue";"mid";0,547028107270131;0,79885446817214;-1,87121962042095;4,76439960714978;19,3489744210572;254,2755579637;837,333810365119;119
"82";"Corki";"Blue";"top";-1,67573701436805;1,43679085362367;1,42586211724394;13,8194706689692;9,92019523859129;-178,133599841909;-334,266481176903;1
"83";"Corki";"Red";"bottom";-0,640785585258903;-0,0481325585021843;-0,635919949847659;1,56584046970531;-11,8916732412574;-129,146358198647;-972,866675235326;239
"84";"Corki";"Red";"mid";2,76819287056796;-3,38983132708024;-0,35159187957447;27,9924076733191;78,414907234657;895,079500349816;3436,65061164375;125
"85";"Darius";"Blue";"jungle";2,04581561956991;-0,503584446692828;3,17832352500693;29,1524530067497;61,7639149144541;544,850470257493;2353,10714328861;7
"86";"Darius";"Blue";"top";1,11247987189586;0,306738590274368;-0,994704519441641;7,92772382986812;-2,86927691877848;243,837107982328;349,610382066928;10
"87";"Darius";"Red";"jungle";3,22613904497184;-1,74312978584996;2,09384258382247;25,9280906413642;62,8019073663008;1070,65691901171;3207,54516875228;6
"88";"Darius";"Red";"top";1,34457374837182;-0,681709953328052;0,627996662425902;12,7381625906386;5,77990021204346;826,585308381535;1151,32262057061;7
"89";"Diana";"Blue";"jungle";-1,16930351061502;1,3184542415809;2,98247591634665;18,9502168854442;40,4972726904066;-51,6239379002445;799,294040401749;11
"90";"Diana";"Blue";"top";-1,39065165363904;1,02358081522635;-2,72803006663001;-28,1639537705464;-27,9326235128124;-1157,30365042421;-2046,57284549322;1
"91";"Diana";"Red";"jungle";0,487577548398621;0,923829676286058;-1,19913390439884;-1,03632027307503;-11,7867566158637;276,166809605458;38,9713111895216;5
"92";"Diana";"Red";"mid";3,27661666163618;-2,80498868583868;2,65759867785385;13,8169013097055;36,7905607380165;1358,91523784818;2632,34898932837;1
"93";"Draven";"Blue";"bottom";0,531023325882379;0,159748768054494;-1,47988822646184;6,84771309722109;-4,59639912674416;208,776732675728;859,969815585166;22
"94";"Draven";"Blue";"top";-2,85320410798118;1,25064794326016;-3,83810008157189;2,47508237249878;1,10028200332059;-150,246045755402;-1458,49600210519;2
"95";"Draven";"Red";"bottom";-0,679427590800637;0,0503349495157491;-0,763668545862503;6,7117525092078;-11,869889627264;310,707685021557;123,103164573118;21
"96";"Draven";"Red";"top";1,43123928788615;-1,13199479861742;-2,66454449028287;37,3403588666858;84,0370230040206;2108,39071805356;3494,36550542534;1
"97";"DrMundo";"Blue";"jungle";-1,68685501253694;-0,212240931121253;4,12189386752022;9,9420913755344;36,8100798102347;-181,794422711869;741,420958359294;14
"98";"DrMundo";"Blue";"top";-1,06624757339101;0,0955707949409283;-1,68901602819543;-3,90776944050396;16,5196272777273;-21,0608744731624;134,502479535137;8
"99";"DrMundo";"Red";"jungle";1,40523493457215;-2,49730086943554;1,22457659349834;9,08531027029302;14,4870701410147;585,251475704222;1386,58023964716;8
"100";"DrMundo";"Red";"top";-1,19470785594482;-1,01572421871418;0,704084744049141;-9,79572351985192;1,8897596246105;-339,332128058142;556,165339841194;4
"101";"Ekko";"Blue";"mid";-1,87500624332128;4,18812284928902;-7,50796445551509;-26,0437253548951;-10,5888269264659;-927,087414824501;-909,441470195558;1
"102";"Ekko";"Red";"mid";8,42644620283951;-5,70194910600721;5,07593644907095;20,9292156321479;108,303345561142;1669,88945221223;7172,21298181351;1
"103";"Elise";"Blue";"jungle";1,31413089636124;2,59698967006071;-3,35473978649138;11,466728541048;3,64977561265977;-26,0605069717777;-21,5557754356966;3
