"";"Parameter";"Parameter_type";"Role";"Side";"Kills above expected per game";"Deaths above expected per game";"Assists above expected per game";"CSAt15Min above expected per game";"CSAtEnd above expected per game";"GoldAt15Min above expected per game";"GoldAtEnd above expected per game";"Games_played";"Kills";"Deaths";"Assists";"CS_at_15_min";"CS_at_end";"Gold_at_15_min";"Gold_at_end"
"271";"Rumble";"Champion";"top";"Blue";-1,14982530236692;0,877979003391637;1,38937724343967;4,56002060582483;-9,21704837779769;13,9365913292514;-166,680306680875;31;2;2,29032258064516;3,64516129032258;118,161290322581;236,387096774194;4733,12903225806;10536,7096774194
"272";"Rumble";"Champion";"top";"Red";1,18874388057246;-0,170871653957821;-0,843970291152453;6,2025115863095;17,7300954278154;199,46554793606;790,668355563544;18;1,94444444444444;2,16666666666667;3,22222222222222;118,666666666667;236,944444444444;4909,55555555556;11015,6666666667
"273";"Ryze";"Champion";"mid";"Blue";-2,83344339128869;2,41551396731389;-3,23779706467214;2,20823971542209;-7,58484564421149;-150,447751015124;-1713,96119276696;9;2;2,66666666666667;4,44444444444444;131,888888888889;267,111111111111;5108,77777777778;11463
"274";"Ryze";"Champion";"mid";"Red";-1,19093184016186;0,0371293704267694;0,0494337850070966;4,83645837233794;21,5372993841773;109,630094042923;472,655471533622;7;1,28571428571429;2,57142857142857;3,42857142857143;134,714285714286;242,285714285714;5175;10206,1428571429
"275";"Ryze";"Champion";"top";"Blue";-2,50910415044244;2,79015960325866;-7,33155919198404;24,8406563397433;30,9730216718445;215,094593566253;43,70600314934;1;1;1;1;117;263;4951;11308
"276";"Sejuani";"Champion";"jungle";"Blue";0,89365591951892;-1,8568453345268;-4,83534993859199;-16,8277343792633;-12,3809218752697;8,89325309814767;-848,134795620098;19;1,42105263157895;2,21052631578947;4,63157894736842;98,3684210526316;177,105263157895;4721,42105263158;9409,84210526316
"277";"Sejuani";"Champion";"jungle";"Red";0,0345197807775545;1,36141593089094;-5,42631639293191;-29,2532661048009;-54,7929844517886;-663,557267638485;-656,330669608212;25;1,56;1,64;6,6;100,04;196,04;4728,32;10532,4
"278";"Senna";"Champion";"bottom";"Blue";-8,37802389981794;0,119507736156464;6,41601826544325;-108,035837396745;-180,09199167943;-4498,26850009363;-6356,26097455093;1;0;2;6;40;58;4021;6399
"279";"Seraphine";"Champion";"support";"Blue";-1,66660254148095;-2,9083946617434;3,87507997965024;3,41920988797967;3,86684957059185;-208,105207621296;-834,290046619238;1;0;0;3;23;28;3287;5860
"280";"Sett";"Champion";"mid";"Red";-1,2206820323055;-1,15923068248752;-3,26070446865673;8,37008403002397;-22,6169668962071;52,6488315521882;-2309,40508160137;1;2;1;8;129;187;5160;9384
"281";"Shen";"Champion";"support";"Blue";2,04615313155896;0,298358609522177;0,800716559424058;3,15295009709822;0,603840102846665;653,530727956709;987,412776012018;3;2;2,66666666666667;5,33333333333333;26,6666666666667;34;3442,66666666667;6400
"282";"Shen";"Champion";"support";"Red";NA;NA;NA;NA;NA;NA;NA;1;3;1;17;25;30;4559;8070
"283";"Sion";"Champion";"top";"Blue";-2,61738928181415;0,127182695060035;1,97114620565856;5,32664382631866;-12,9158051134205;-45,2382989864156;-798,584155771762;11;1,36363636363636;1,18181818181818;2,54545454545455;115,818181818182;228,545454545455;4627,81818181818;10375,2727272727
"284";"Sion";"Champion";"top";"Red";0,968116026269733;-1,41053172999139;2,40836997066803;-14,0620401556727;-13,7955872025122;-236,596884432473;-641,834654419748;7;0,857142857142857;1,42857142857143;4,42857142857143;105,571428571429;214,571428571429;4300,85714285714;9385
"285";"Sivir";"Champion";"bottom";"Red";0,0452281673007476;-3,04566738666341;1,32041202431928;-16,7365414272106;-3,40602741752566;-713,181665713062;-1237,30309574881;1;2;1;10;129;238;4851;10060
"286";"Skarner";"Champion";"jungle";"Blue";-0,0348234245910763;-1,20664983317236;-3,0162663669078;-16,4199397009827;-30,1248758217246;-172,285378319121;-1526,55296486416;16;1,6875;2,3125;5,75;101,0625;175,5;4769,3125;9440,25
"287";"Skarner";"Champion";"jungle";"Red";0,873088564271938;1,69280214296736;-6,30071300261799;-33,4560998781078;-47,9844570723123;-907,54032335126;-505,063204395756;16;1,5;2,0625;5,25;98,5625;168,8125;4668,5625;8884,125
"288";"Smolder";"Champion";"mid";"Red";-3,16941530899836;2,28043577612734;1,26782011516829;-0,159000900081738;-4,68923475648831;-849,364514045691;-914,378310067509;2;4,5;2;11;129;283,5;5224;15510,5
"289";"Swain";"Champion";"mid";"Blue";-2,18556038846378;4,48012131246451;-8,11648793812432;-37,9339336037854;-67,5807853343145;-1460,64534253853;-3956,91485569216;1;0;4;2;95;172;4137;7165
"290";"Sylas";"Champion";"mid";"Blue";-1,24973783622705;2,72829552371838;-4,08742260288814;-9,28939509980933;-16,6510459304756;-447,599501499685;-1349,67879677257;14;2,14285714285714;2,35714285714286;3,14285714285714;125,642857142857;256,785714285714;5068,57142857143;11415,1428571429
"291";"Sylas";"Champion";"mid";"Red";-0,538442223057386;-0,304788520558239;-0,931342646181321;-12,3873353110595;-26,3504125288857;-2,78687247691908;-47,2292681767921;4;3;2;3,75;111,25;230;4997,75;10849,25
"292";"Sylas";"Champion";"top";"Blue";-2,33781590310299;3,01624869073642;-0,331799527523242;16,0885859584184;-56,9492870586103;552,790701765119;-1180,47972926032;1;0;3;4;126;205;4703;9107
"293";"Sylas";"Champion";"top";"Red";-1,07260393131037;1,54458540363094;1,66479940514174;-16,2379041339924;-45,3792460750701;-545,810396884468;-1536,70114345689;1;5;5;5;104;219;5269;11925
"294";"Syndra";"Champion";"mid";"Blue";2,03983124032089;0,457941316138903;-0,811933338498174;20,3210754487273;-32,3353582629715;66,3523181779594;-2422,86590700391;1;3;0;6;141;298;4908;13275
"295";"Syndra";"Champion";"mid";"Red";-2,11759973083725;4,8648477929234;-8,8234063808056;2,49237807139174;1,17462601166129;309,375295475843;-2275,00924772859;1;1;3;1;133;264;5364;10495
"296";"T1 Doran";"Player";"top";"Blue";1,1818306242705;-1,0153886292195;0,0394668557610807;8,54740698669847;25,6713221593487;495,371722920867;1482,36691414786;22;1,81818181818182;2,40909090909091;3;114,409090909091;242;4703;10873,6818181818
