"";"Player";"Role";"Games_played";"Kills";"Deaths";"Assists";"CS_at_15_min";"CS_at_end";"Gold_at_15_min";"Gold_at_end";"Side"
"85";"DNF Life";"support";21;0,380952380952381;2,9047619047619;5,42857142857143;19,4285714285714;32,4285714285714;3215,57142857143;7054,47619047619;"Red"
"86";"DNF Pungyeon";"mid";6;1,33333333333333;3;2,66666666666667;133,333333333333;265,666666666667;5003,16666666667;11042,1666666667;"Red"
"87";"DNF Pyosik";"jungle";19;2,05263157894737;2,15789473684211;4;102,578947368421;204,315789473684;4767,26315789474;10507,3684210526;"Red"
"88";"DRX Andil";"support";14;0,571428571428571;3;5,07142857142857;18,7857142857143;28,0714285714286;3251,14285714286;6505;"Red"
"89";"DRX LazyFeel";"bottom";7;2,71428571428571;1;4,28571428571429;122,571428571429;268,714285714286;4970,28571428571;11839,7142857143;"Red"
"90";"DRX Pleata";"support";5;0,4;2,6;7;17,8;26,2;3317,4;6196,2;"Red"
"91";"DRX Rich";"top";19;1,84210526315789;2,10526315789474;2,68421052631579;112,421052631579;225,894736842105;4619,36842105263;10127,8947368421;"Red"
"92";"DRX Sponge";"jungle";19;2,26315789473684;2,36842105263158;4,52631578947368;101,736842105263;187,315789473684;4903,47368421053;9809,78947368421;"Red"
"93";"DRX Teddy";"bottom";12;2,33333333333333;1,75;3,33333333333333;123,416666666667;257;5041,5;10909,8333333333;"Red"
"94";"DRX Ucal";"mid";19;2,42105263157895;1,63157894736842;4;133,789473684211;259,578947368421;5127,73684210526;11323,3684210526;"Red"
"95";"GEN Canyon";"jungle";13;2,15384615384615;1,61538461538462;8;110,769230769231;208,923076923077;4968,46153846154;10695,5384615385;"Red"
"96";"GEN Chovy";"mid";13;2,76923076923077;1,53846153846154;5,69230769230769;139,307692307692;265,769230769231;5492,92307692308;11969,3846153846;"Red"
"97";"GEN Duro";"support";13;0,615384615384615;2,15384615384615;10;15,9230769230769;24,1538461538462;3391,07692307692;7126,84615384615;"Red"
"98";"GEN Kiin";"top";13;3,15384615384615;1,61538461538462;4,23076923076923;117;229,461538461538;4904,53846153846;11042,3076923077;"Red"
"99";"GEN Ruler";"bottom";13;4,46153846153846;1,53846153846154;4,53846153846154;132,461538461538;268,538461538462;5537,23076923077;12626;"Red"
"100";"HLE Delight";"support";18;0,888888888888889;2,05555555555556;6,66666666666667;24,5;37,6111111111111;3445,22222222222;6932,88888888889;"Red"
"101";"HLE Peanut";"jungle";18;2;1,83333333333333;5,27777777777778;97,6666666666667;183,222222222222;4727,44444444444;9605,66666666667;"Red"
"102";"HLE Viper";"bottom";18;3,33333333333333;1,05555555555556;4,11111111111111;131,611111111111;272,111111111111;5425,22222222222;11888,7777777778;"Red"
"103";"HLE Zeka";"mid";18;2,72222222222222;1,38888888888889;3,72222222222222;132,722222222222;250,388888888889;5148,88888888889;10956,9444444444;"Red"
"104";"HLE Zeus";"top";18;2,05555555555556;2,38888888888889;3,88888888888889;116,5;229,722222222222;4977,88888888889;10720,8888888889;"Red"
"105";"KT Bdd";"mid";18;3,22222222222222;1,5;3,5;129;258,5;5093,05555555556;11475,0555555556;"Red"
"106";"KT Casting";"top";9;1,88888888888889;2,44444444444444;3;106;224,777777777778;4722;10381,6666666667;"Red"
"107";"KT Cuzz";"jungle";18;2,5;1,94444444444444;5,38888888888889;103,055555555556;197,833333333333;4963,33333333333;10205,6666666667;"Red"
"108";"KT Paduck";"bottom";4;2;2,5;4,75;117,5;247,75;5113,75;10795,25;"Red"
"109";"KT PerfecT";"top";9;1,11111111111111;2,33333333333333;3;111,555555555556;221,333333333333;4629,77777777778;10132,2222222222;"Red"
"110";"KT Peter";"support";11;0,545454545454545;1,90909090909091;7,63636363636364;19,4545454545455;33,5454545454545;3456,54545454545;7197,90909090909;"Red"
"111";"KT Way";"support";7;0,571428571428571;3,42857142857143;4;17,2857142857143;26,1428571428571;3244,14285714286;6096,57142857143;"Red"
"112";"KT deokdam";"bottom";14;1,85714285714286;1,92857142857143;4,07142857142857;118,857142857143;260,428571428571;4903,5;11175,7142857143;"Red"
"113";"NS Calix";"mid";5;5,8;1,6;6,6;128,6;276,8;5504;14175;"Red"
"114";"NS Fisher";"mid";12;3;1,75;5,5;131,5;258,083333333333;5198,16666666667;12102,0833333333;"Red"
"115";"NS GIDEON";"jungle";17;2,76470588235294;1,64705882352941;7,58823529411765;106,117647058824;200,470588235294;5013,52941176471;11107,2941176471;"Red"
"116";"NS Jiwoo";"bottom";17;3,29411764705882;2;5,29411764705882;124,823529411765;272,352941176471;5165,35294117647;12766,2941176471;"Red"
"117";"NS Kingen";"top";17;3,29411764705882;2,05882352941176;4,23529411764706;118,058823529412;246,058823529412;5075,58823529412;12226;"Red"
"118";"NS Lehends";"support";17;1,11764705882353;3,41176470588235;8,17647058823529;20,4705882352941;32,8235294117647;3619,41176470588;7892,94117647059;"Red"
"119";"T1 Doran";"top";15;1,93333333333333;2,26666666666667;4,66666666666667;119,6;240,466666666667;5015,2;11342;"Red"
"120";"T1 Faker";"mid";15;2,53333333333333;1,4;4,66666666666667;131,2;258,933333333333;5038,4;11659,2;"Red"
"121";"T1 Gumayusi";"bottom";7;3;1,71428571428571;4,71428571428571;133,714285714286;303,142857142857;5353,71428571429;13521,2857142857;"Red"
"122";"T1 Keria";"support";15;0,733333333333333;1,53333333333333;8,33333333333333;18,9333333333333;31,2666666666667;3559,26666666667;7349,46666666667;"Red"
"123";"T1 Oner";"jungle";15;3,06666666666667;1,66666666666667;6,13333333333333;110,333333333333;209,733333333333;5250,93333333333;11069,1333333333;"Red"
"124";"T1 Smash";"bottom";8;5,375;0,75;4,125;128,625;277,75;5897,875;13221;"Red"
