Time_da_casa;Gols_feitos_pelo_time_da_casa;Gols_feitos_pelo_time_de_fora_de_casa;Time_de_fora_de_casa;Liga
FC Cincinnati;1;3;Orlando City SC;MLS
New England Revolution;1;2;D.C. United;MLS
Vancouver Whitecaps FC;0;1;Minnesota United FC;MLS
Atlanta United FC;2;1;New York Red Bulls;MLS
Charlotte FC;2;0;CF Montréal;MLS
Columbus Crew;3;2;Philadelphia Union;MLS
Sporting Kansas City;0;3;LAFC;MLS
St. Louis CITY SC;3;0;Houston Dynamo FC;MLS
Colorado Rapids;0;1;Seattle Sounders FC;MLS
LA Galaxy;2;1;Austin FC;MLS
San Jose Earthquakes;0;1;Real Salt Lake;MLS
New York City FC;3;1;Nashville SC;MLS
Portland Timbers;0;0;FC Dallas;MLS
Columbus Crew;4;0;New England Revolution;MLS
Vancouver Whitecaps FC;1;2;LAFC;MLS
D.C. United;0;3;Charlotte FC;MLS
Philadelphia Union;1;2;FC Cincinnati;MLS
New York Red Bulls;2;3;Columbus Crew;MLS
Chicago Fire FC;0;3;Nashville SC;MLS
Orlando City SC;1;2;Atlanta United FC;MLS
Inter Miami CF;6;2;New England Revolution;MLS
CF Montréal;2;0;New York City FC;MLS
Austin FC;3;2;Colorado Rapids;MLS
Houston Dynamo FC;2;1;LA Galaxy;MLS
FC Dallas;2;1;Sporting Kansas City;MLS
LAFC;3;1;San Jose Earthquakes;MLS
Minnesota United FC;4;1;St. Louis CITY SC;MLS
Real Salt Lake;2;1;Vancouver Whitecaps FC;MLS
Seattle Sounders FC;1;1;Portland Timbers;MLS
